,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,23100,Bio III Cell Strct Fnc,Fall 2024,38041
,,,,,24842
,,,Bio III Cell Strct Fnc-Honors,Fall 2024,38041
,,,,,24842
,,23200,Lab Bio III Cell Strct,Fall 2024,38060
,,,,,24474
,,,Lab Bio III Cell Strct-Honors,Fall 2024,38060
,,29500,Teach Cell Struc & Function,Fall 2024,50425
,,,Teach First Year Biol Lab,Fall 2024,29921
,,,Teach Human Antmy&Physiology,Fall 2024,50421
,,36700,Principles Of Development,Fall 2024,19449
,,39500,The Gene And Human Society,Fall 2024,31391
,,39600,Premed Planning Sem,Fall 2024,25105
,,42000,Eukaryotic Cell Biol,Fall 2024,25008
,,43600,Neurobiology,Fall 2024,11469
,,,Neurobiology-Honors,Fall 2024,11469
,,43800,General Microbiology,Fall 2024,12403
,,43900,Lab In Gen Microbiol,Fall 2024,12404
,,,,,12405
,,,,,59201
,,44100,Senior Sem In Genetics,Fall 2024,59901
,,,,,18697
,,47800,Intro Bioinformatics,Fall 2024,15065
,,49500,Biodiversity & Museum Research,Fall 2024,28944
,,,Data Science For Biologists,Fall 2024,29905
,,51202,Methods & Measures Biophy Chem,Fall 2024,23767
,,53300,Medical Microbiology,Fall 2024,16970
,,53700,Immunobiology,Fall 2024,21597
,,54100,Molec Genetics Of Bact,Fall 2024,15411
,,58210,Ecological Statistics,Fall 2024,17607
,,58601,Ecology,Fall 2024,23688
,,58602,Lab In Ecology,Fall 2024,32445
,,,,,32446
,,58705,Animal Communication,Fall 2024,29366
,,59500,CryoEM 3D Reconstruction,Fall 2024,25842
,,,Introduction To Bioinformatics,Fall 2024,19496
,,,Neurobiol Learning & Memory,Fall 2024,21322
,,60200,Cellular Neurobiology,Fall 2024,23396
,,66200,Sem Methods Prof Dev I,Fall 2024,11449
,,69100,Biological Res Mthds,Fall 2024,30127
,,,,,30128
,,69500,Biophysics Grant Writing,Fall 2024,27741
,,,Structural Biol Rsrch Seminar,Fall 2024,13378
,,,Tchg Asst Prof Development,Fall 2024,30365
BME,BME-Biomedical Engineering,21400,Intro To Biomechanics,Fall 2024,21043
,,,Intro Biomechanics-Honors,Fall 2024,21276
,,21401,Fund Biomech Analysis,Fall 2024,19181
,,,,,19186
,,,,,19188
,,,,,19199
,,,,,19200
,,,,,19203
,,,,,19204
,,28000,Frontiers In BME,Fall 2024,20285
,,,,,20286
,,31300,Biofluid Mechanics,Fall 2024,20544
,,,Biofluid Mechanics-Honors,Fall 2024,20544
,,33000,Bioelectricity,Fall 2024,19152
,,35600,Mathematical Models Physiology,Fall 2024,11520
,,36000,Intro Bioimaging,Fall 2024,13918
,,38000,Professionalization In BME,Fall 2024,21060
,,,,,13862
,,40100,"Bio, Med, And Health Analysis",Fall 2024,13946
,,46000,CV Mech Support&Device-Honors,Fall 2024,24522
,,,CV Mechanical Support & Device,Fall 2024,24522
,,47000,Biomolecular Engineering,Fall 2024,29819
,,48901,Sr Design Project Lab,Fall 2024,20522
,,,,,20525
,,,,,20528
,,,,,13876
,,49000,Professional Elements Design,Fall 2024,56898
,,,,,20676
,,50100,Biostatistics,Fall 2024,21810
,,52100,Biosnrs: Fndmtls & App,Fall 2024,23140
,,53000,Bio & Med Imag Diagnostic Tech,Fall 2024,25613
,,54200,Cell & Tissue Mechanics,Fall 2024,25615
,,55500,MRI Theory,Fall 2024,23011
,,55600,Intro To Clinical Medicine,Fall 2024,21852
,,56100,Preclinical & Clinical Design,Fall 2024,27359
,,,,,24381
,,59500,Biomedship,Fall 2024,13222
,,,Research Fundamentals,Fall 2024,30212
,,,Tissue Engineering,Fall 2024,29769
,,69000,BME Seminar,Fall 2024,12659
,,69500,Multiscale Modeling In BME,Fall 2024,23023
,,,Pediatric Medical Devices,Fall 2024,14011
BMS,BMS-Basic Medical Sciences,20100,Appld Dmestic Animal Anatmy I,Fall 2024,21478
,,23100,Anatomy-VN,Fall 2024,16723
,,23200,Physiology-VN,Fall 2024,53393
,,33100,Pharmacology-VN,Fall 2024,22434
,,53400,Systemic Mammalian Physiology,Fall 2024,19551
,,69200,Seminar Basic Med Sci,Fall 2024,18579
,,80100,Gross Anatomy Of Dog And Cat,Fall 2024,21976
,,80400,Applied Anatomy Horse,Fall 2024,12733
,,80700,Veterinary Cell & Tissue Bio I,Fall 2024,20737
,,81000,Foundations In Basic Med Sci,Fall 2024,14861
,,81100,Physiology Of Dom Animals I,Fall 2024,48821
,,81401,Pharmacology Princ And App,Fall 2024,16658
BTNY,BTNY-Botany & Plant Pathology,11000,Intro To Plant Science,Fall 2024,17907
,,,Intro To Plant Science-Honors,Fall 2024,17907
,,12000,Principles Of Plant Biology I,Fall 2024,22566
,,26200,Plant Struct & Tissue Biology,Fall 2024,28638
,,28500,Plants And Civilization,Fall 2024,16155
,,30100,Intro Plant Pathology,Fall 2024,18342
,,30400,Intro Weed Science,Fall 2024,67404
,,,Intro Weed Science-Honors,Fall 2024,67404
,,49700,Undergraduate Seminar,Fall 2024,27967
,,50500,Adv Biology Of Weeds,Fall 2024,27227
,,69100,Skills For Success Grad School,Fall 2024,19862
,,69700,Seminar In Plant Sci,Fall 2024,32670
CDIS,CDIS-Critical Disability Std,23900,Intro To Disability Studies,Fall 2024,28693
,,,Intro To Disabl Studies-Honors,Fall 2024,28693
CE,CE-Civil Engineering,20300,Princ & Pract Geomtics,Fall 2024,12822
,,,Princ & Pract Geomtics-Honors,Fall 2024,12822
,,21101,Thermal & Energy Sciences,Fall 2024,24627
,,22200,Life Cycle Engr Construct Fac,Fall 2024,56746
,,27000,Intro Strctrl Mchncs,Fall 2024,12841
,,29202,Contemporary Issues In CE,Fall 2024,11182
,,29700,Basic Mech I Statics,Fall 2024,12848
,,,,,12849
,,29800,Basic Mech II Dynamics,Fall 2024,12850
,,29900,Next Generation Mobility,Fall 2024,29128
,,31100,Architectural Engr,Fall 2024,18544
,,32201,Proj Cntrl Life Cyc Constr Fac,Fall 2024,64714
,,,,,32512
,,33500,Civil Engineering Materials,Fall 2024,27675
,,34000,Hydraulics,Fall 2024,16625
,,34300,Elem Hydraulics Lab,Fall 2024,12863
,,,,,12866
,,,,,12867
,,,,,12868
,,,,,53878
,,,,,53879
,,,,,19246
,,,,,25460
,,,,,23614
,,,,,24499
,,35000,Intro Env And Ecol Engineering,Fall 2024,12870
,,35500,Eng Env Sustainability,Fall 2024,28549
,,,,,28551
,,36100,Transportation Engr,Fall 2024,12873
,,,Transportation Engr-Honors,Fall 2024,12873
,,37100,Structural Analysis I,Fall 2024,12874
,,38300,Geotechnical Engr I,Fall 2024,12876
,,39201,Technical Communication In CE,Fall 2024,12833
,,39800,Intro CE Systems Dsgn,Fall 2024,12884
,,41300,Bldg Envelp Dsgn & Thrml Load,Fall 2024,21719
,,44000,Urban Hydraulics,Fall 2024,12893
,,45600,Wastewater Treatment Processes,Fall 2024,13438
,,46100,Rodwy And Pvmnt Design,Fall 2024,15570
,,46300,Highway Transportation,Fall 2024,32363
,,47000,Struct Steel Design,Fall 2024,32922
,,47300,Reinf Concrete Design,Fall 2024,59593
,,47900,Design Bldg Comp & Sys,Fall 2024,20912
,,48300,Geotechnical Engr II,Fall 2024,53802
,,49800,C E Design Project,Fall 2024,12913
,,50701,Geospatial Data Analytics,Fall 2024,22541
,,52000,Const Proj Cntl Systms,Fall 2024,17466
,,52300,Sel & Util Const Equip,Fall 2024,23198
,,54300,Coastal Engineering,Fall 2024,19634
,,54900,Cmptnl Wtrshd Hydrlgy,Fall 2024,28626
,,55700,Air Quality Management,Fall 2024,12929
,,56500,Traffic Engr Oper Cont,Fall 2024,26248
,,57000,Adv Struct Mech,Fall 2024,48967
,,57300,Structural Dynamics,Fall 2024,12932
,,57600,Adv Reinf Concrt Dsign,Fall 2024,48965
,,59100,Adv Struct Steel Des,Fall 2024,32925
,,59601,Entrprnshp & Busn Stgy In Engr,Fall 2024,32270
,,59700,Adv Proj Mgmt & Analysis,Fall 2024,48996
,,,Advanced Wastewater Treatment,Fall 2024,32537
,,,Architctr BIM High Perf Bldgs,Fall 2024,29880
,,,Disasters & Emergencies,Fall 2024,25841
,,67100,Behav Of Metal Struct,Fall 2024,29542
,,69100,CE Sem-Construction,Fall 2024,15714
,,,CE Sem-Gr Stdnt Orient,Fall 2024,64675
,,,CE Sem-Hydraul & Hyd,Fall 2024,12971
,,,CE Sem-Structural,Fall 2024,12975
,,,CE Sem-Transportation,Fall 2024,12976
,,69900,Research PhD Thesis,Fall 2024,12529
CEM,CEM-Construction Engr & Mgmt,20100,Life Cycle Engr Construct Fac,Fall 2024,51168
,,28000,CEM Prof Development I,Fall 2024,20481
,,30100,Proj Cntrl Life Cyc Constr Fac,Fall 2024,64715
,,,,,32511
,,32400,Human Resource Mgmt In Constr,Fall 2024,54147
,,42501,Construction Capstone I,Fall 2024,23966
,,45100,Integrative Building Design,Fall 2024,20483
,,45500,Temp Structures Construction,Fall 2024,19869
,,53100,Facilities Engineering,Fall 2024,26449
,,59700,Ldrshp & Adv Proj Mgmt,Fall 2024,30401
CGT,CGT-Computer Graphics Tech,10501,Introduction To Games,Fall 2024,22006
,,,Introduction To Games-Honors,Fall 2024,22006
,,11200,Sketch Visualiz & Comm,Fall 2024,23796
,,11505,Scripting & Comput Thinking,Fall 2024,15053
,,11600,Geom Mdl Visual & Comm,Fall 2024,16157
,,,Geom Mdl Visual & Comm-Honors,Fall 2024,16157
,,11800,Fund Of Imaging Tech,Fall 2024,22615
,,12300,Animation Foundations,Fall 2024,22209
,,,,,13689
,,,,,33106
,,,,,33107
,,14100,"Internet Found,Tch&Dev",Fall 2024,13704
,,14700,Visual Effects Introduction,Fall 2024,19486
,,17208,UXD Studio I: Fundamentals,Fall 2024,16710
,,,,,16713
,,21500,Comptr Graph Program I,Fall 2024,37138
,,24100,Intro Comptr Animation,Fall 2024,13758
,,24500,Game Development I,Fall 2024,21769
,,26505,Video Game Level Design,Fall 2024,15045
,,27000,Intro To Data Visualization,Fall 2024,26636
,,27108,UXD Studio II: Screen,Fall 2024,18994
,,27207,UXD Experience Studio II,Fall 2024,12377
,,,,,19298
,,32101,Digital Illustration,Fall 2024,28974
,,,,,28977
,,33300,Modeling For Entertain Graph,Fall 2024,21136
,,34000,Digital Light & Render,Fall 2024,13781
,,34100,Motion For Comp Anim,Fall 2024,13784
,,34505,Environment Modeling,Fall 2024,30353
,,35300,Principles Of Interact Media,Fall 2024,24111
,,35600,"Web Prog,Dev&Data Intg",Fall 2024,24113
,,36500,Game Development Practicum,Fall 2024,18193
,,,,,26900
,,37108,UXD Studio IV: Strategy,Fall 2024,18995
,,37207,UXD Experience Studio III,Fall 2024,12385
,,,,,19302
,,37700,Scientific Visualization,Fall 2024,13542
,,41101,Problems In Appl Comp Graph I,Fall 2024,11971
,,42500,Game Design,Fall 2024,26785
,,44200,Productn Cmptr Animatn,Fall 2024,13530
,,,,,27440
,,,Productn Cmptr Animatn-Honors,Fall 2024,13530
,,47000,Data Visualization Studio,Fall 2024,14964
,,51200,Foundational Readings Of UX,Fall 2024,13809
,,51500,Virtual Environments,Fall 2024,24513
,,52000,Computer Graphics Programming,Fall 2024,29202
,,52200,UXD GR Studio I: Fundamentals,Fall 2024,26620
,,54500,Game Development I,Fall 2024,24110
,,58100,Disability And Technoscience,Fall 2024,32202
,,63700,Creative AI,Fall 2024,32767
CHE,CHE-Chemical Engineering,20000,Chem Engr Semnr,Fall 2024,22700
,,,,,33801
,,20100,Co-Op Seminar I,Fall 2024,13826
,,20500,Ch Engr Calculations,Fall 2024,25377
,,21100,Ch Engr Thermodynamics,Fall 2024,42925
,,30000,ChE Seminar,Fall 2024,22410
,,30100,Co-Op Seminar II,Fall 2024,45833
,,30600,Des Staged Separ Proc,Fall 2024,13838
,,32000,Stat Mdl & Qual Enhnce,Fall 2024,12589
,,34800,Chem Reaction Engr,Fall 2024,13847
,,37700,Momentum Transfer,Fall 2024,13851
,,37800,Heat And Mass Transfer,Fall 2024,13858
,,40000,ChE Seminar,Fall 2024,17842
,,41100,ChE Undergraduate Research,Fall 2024,20723
,,41200,Chem-E Car Design,Fall 2024,22349
,,42000,Process Safety Mgmt & Anlys,Fall 2024,13096
,,43500,Chemical Engineering Lab,Fall 2024,51100
,,45000,Desgn & Anly Proc Sys,Fall 2024,21560
,,45600,Proc Dynamics & Contr,Fall 2024,22269
,,52100,Tissue Engineering,Fall 2024,29768
,,54400,Struct & Prop Poly Mat,Fall 2024,29767
,,55100,Principles Pharmaceutic Engr,Fall 2024,29763
,,55400,Smart Man In Process Ind,Fall 2024,27600
,,59700,Anly Apprch Hlthcre Deliv,Fall 2024,18602
,,,Enr App In Mrkt Mgmt,Fall 2024,23670
,,,Industrial Catalytic Processes,Fall 2024,15308
,,,Industrial Chemical Technology,Fall 2024,21558
,,,Intro Energy Storage Systems,Fall 2024,29770
,,,Intro To Engr Math,Fall 2024,22347
,,,Org Elect Matls And Devices,Fall 2024,29771
,,,Prof MS Capstone Project,Fall 2024,21161
,,,Purdue Military Rch Instit Sem,Fall 2024,21389
,,,Sys Anlys Efficient Engy,Fall 2024,29760
,,61000,Adv Chem Engr Thermo,Fall 2024,13922
,,62000,Trans Phenomena I,Fall 2024,13923
,,63000,Applied Math Chem Engr,Fall 2024,13924
,,66200,Catalysis,Fall 2024,29758
,,69000,Chem Engr Seminar,Fall 2024,56753
,,69700,Safety In CHE,Fall 2024,17233
,,,Statistical Methods In CHE,Fall 2024,13566
,,69900,Research PhD Thesis,Fall 2024,13984
,,,,,60346
,,,,,64538
,,,,,16819
,,,,,21963
CHM,CHM-Chemistry,11100,General Chemistry,Fall 2024,14040
,,,,,14038
,,,,,14039
,,11500,General Chemistry,Fall 2024,14183
,,,,,14184
,,,,,19394
,,,,,26982
,,,,,26977
,,,,,32932
,,11600,General Chemistry,Fall 2024,13875
,,12500,Intro To Chemistry I,Fall 2024,14361
,,12901,Gen Chem With Bio Focus,Fall 2024,10402
,,,,,24552
,,13600,Gen Chem Honors,Fall 2024,23989
,,19400,Freshman Chm Orient,Fall 2024,14371
,,,,,39426
,,19700,Chm Freshman Honor Res,Fall 2024,14372
,,24100,Intro Inorganic Chem,Fall 2024,15320
,,25500,Org Chem Life Sci I,Fall 2024,14378
,,,,,27655
,,25501,Org Chem Life Sci Lab I,Fall 2024,14390
,,,,,40735
,,,,,14389
,,,,,14385
,,,,,14387
,,,,,14388
,,,,,14386
,,,,,48465
,,,,,14383
,,,,,14391
,,,,,54073
,,,,,20023
,,,,,18604
,,,,,23324
,,,,,19265
,,,,,23453
,,,,,23401
,,,,,23402
,,,,,25062
,,,,,24558
,,25600,Org Chem Life Sci II,Fall 2024,14393
,,,,,23780
,,25601,Organic Chem Life Sci Lab II,Fall 2024,10093
,,,,,14400
,,,,,14398
,,,,,16677
,,,,,16576
,,,,,16675
,,,,,14402
,,,,,16674
,,,,,10094
,,,,,16676
,,,,,14399
,,,,,14401
,,,,,19827
,,,,,22329
,,,,,22467
,,,,,22623
,,,,,10355
,,,,,23409
,,,,,23410
,,,,,20251
,,,,,32146
,,,,,32145
,,25700,Organic Chemistry,Fall 2024,14403
,,25701,Organic Chem Lab,Fall 2024,14410
,,,,,14409
,,,,,19340
,,26100,Organic Chemistry I,Fall 2024,14411
,,26300,Organic Chemistry Lab I,Fall 2024,14416
,,,,,14414
,,,,,14420
,,,,,14417
,,,,,14421
,,,,,14415
,,26500,Organic Chemistry Lab I,Fall 2024,34261
,,,,,48414
,,,,,60179
,,,,,23424
,,,,,26239
,,26505,Organic Chemistry I,Fall 2024,36107
,,26700,Organic Chem Lab I Honors,Fall 2024,26164
,,29400,Sophomore Chm Seminar,Fall 2024,23758
,,32100,Analytical Chemistry I,Fall 2024,12424
,,34800,Bioinorganic Chemistry,Fall 2024,30181
,,37000,Topics In Physical Chm,Fall 2024,14437
,,37300,Physical Chemistry I,Fall 2024,14438
,,37301,Physical Chemistry Lab I,Fall 2024,25397
,,43300,Biochemistry,Fall 2024,16545
,,48100,Environmental Chem,Fall 2024,28285
,,49000,Bioanalytical Chemistry,Fall 2024,29602
,,49400,Jun-Sen Chem Seminar,Fall 2024,14451
,,,,,23847
,,49900,Special Assignments,Fall 2024,35481
,,56000,Org Spectroscop Analys,Fall 2024,14490
,,59900,Teaching In Chemistry,Fall 2024,27585
,,,Intro Sci Glassblowing,Fall 2024,30182
,,60500,Safety In Laboratory,Fall 2024,14494
,,62000,Spectrochem Instrument,Fall 2024,29785
,,62200,Chem Asp Of Mass Spec,Fall 2024,14498
,,63200,Membrane: Struct/Fnctn,Fall 2024,14500
,,63400,Biochem Struct Aspects,Fall 2024,14501
,,64100,Adv Inorganic Chem,Fall 2024,14502
,,64400,Solid State Chem,Fall 2024,25278
,,65100,Adv Organic Chemistry,Fall 2024,14504
,,67100,Adv Physical Chem,Fall 2024,13562
,,67605,Molecular Spectroscopy,Fall 2024,29786
,,69500,Sem Analytical Chem,Fall 2024,14508
,,,,,42151
,,,Sem Biochemistry,Fall 2024,14513
,,,Sem Inorganic Chem,Fall 2024,14510
,,,Sem Materials Chem,Fall 2024,29643
,,,Sem Organic Chem,Fall 2024,14512
,,,Sem Physical Chem,Fall 2024,14511
,,69600,Aspects Drug Design Med Chem,Fall 2024,32362
,,,Chemistry Of Soft Materials,Fall 2024,29789
,,,Foundational Analytical Chem,Fall 2024,29788
,,,Math Methods In Chemistry,Fall 2024,29787
,,,NSF Fellowship Application,Fall 2024,33573
,,,Synthesis Photoredox Catalysis,Fall 2024,20543
,,69900,Research PhD Thesis,Fall 2024,14538
,,,,,54593
,,,,,14562
,,,,,15438
,,,,,15436
,,,,,14557
,,,,,14543
,,,,,14529
,,,,,54594
,,,,,14553
,,,,,14532
CHNS,CHNS-Chinese,10100,Chinese Level I,Fall 2024,28730
,,,,,28732
,,,,,31851
,,,,,33116
,,,Chinese Level I-Honors,Fall 2024,28732
,,20100,Chinese Level III,Fall 2024,19295
,,,,,31853
,,,,,31854
,,,Chinese Level III-Honors,Fall 2024,19295
,,24100,Intro Study Chinese Lit,Fall 2024,19429
,,28100,Intro To Chinese Food Culture,Fall 2024,13424
,,30100,Chinese Level V,Fall 2024,67814
,,,Chinese Level V-Honors,Fall 2024,67814
,,31300,Reading And Writing,Fall 2024,13768
,,40100,Chinese Level VII,Fall 2024,14604
CLCS,CLCS-Classics,18100,Classical Wrld Civiliz,Fall 2024,20794
,,,,,31580
,,23500,Intr To Classical Myth,Fall 2024,67122
,,,,,15736
,,,Intr To Classical Myth-Honors,Fall 2024,67122
,,23900,The Comic Vision,Fall 2024,27468
,,33700,The Ancient Epic,Fall 2024,27479
CLPH,CLPH-Clinical Pharmacy,44800,Therapeutic Case Studies,Fall 2024,69904
,,44900,Intro To Psych Pharm,Fall 2024,14203
CM,CM-Construction Management,10000,Intro To Construction Mgmt,Fall 2024,10921
,,15000,Construction Mgmt Fundamentals,Fall 2024,10143
,,16000,Surveying,Fall 2024,18307
,,16400,Graphics For Civ Engr & Const,Fall 2024,11786
,,20002,Intermed Pre-Construction Mgmt,Fall 2024,15894
,,21500,Mechanical Constructn,Fall 2024,18412
,,23301,MEP Sys In Built Environment,Fall 2024,21091
,,26200,Intro To Construction Graphics,Fall 2024,17772
,,27000,Statics,Fall 2024,15908
,,30002,Advanced Pre-Construction Mgmt,Fall 2024,18244
,,30101,Intro Constr Company Fin Mgmt,Fall 2024,18247
,,31000,Equipment & Field Operations,Fall 2024,18408
,,33200,"Arch, Construction And Society",Fall 2024,23141
,,36200,Construction Competition,Fall 2024,24014
,,36400,Jobsite Management,Fall 2024,18419
,,37100,Industrial Construction Mgmt,Fall 2024,17369
,,37200,Plan Dsgn Const Hlthc Blt Envr,Fall 2024,13891
,,37400,Mech And Elec Constr Mgmt I,Fall 2024,13892
,,37600,Residential Green Const Mgmt,Fall 2024,13894
,,38000,Soils And Foundations,Fall 2024,18298
,,40000,Construction Capstone I,Fall 2024,11852
,,43300,Risk & Legal Design/Constr,Fall 2024,18433
,,45001,Construction Capstone II,Fall 2024,26641
,,45701,Construction Safety,Fall 2024,18506
,,46200,Appl Constr Document II,Fall 2024,17774
,,47500,Construction Costs,Fall 2024,18421
,,58100,Comp Dsgn Data Interop,Fall 2024,31601
,,,Construction Cost Control,Fall 2024,21044
,,,New Technolges In AEC & Grphcs,Fall 2024,18942
CNIT,CNIT-Computer & Info Tech,10500,Intro To C Program,Fall 2024,13354
,,13600,PC Tech & Applications,Fall 2024,51233
,,15501,Intro To Software Dev Concepts,Fall 2024,69969
,,17500,Visual Programming,Fall 2024,42900
,,17600,Info Tech Architecture,Fall 2024,21514
,,,,,33292
,,,Info Tech Architecture-Honors,Fall 2024,33292
,,18000,Intro To Systems Devel,Fall 2024,13397
,,,Intro To Systems Devel-Honors,Fall 2024,13397
,,18200,System & Org Security,Fall 2024,33296
,,,,,29612
,,24000,Data Comm & Networking,Fall 2024,24643
,,24200,System Administration,Fall 2024,36500
,,25501,Obj-Oriented Prog Introduction,Fall 2024,69974
,,27000,Cybersecurity Fundamentals I,Fall 2024,15130
,,27100,Cybersecurity Fundamentals II,Fall 2024,29619
,,27200,Database Fundamentals,Fall 2024,13415
,,28000,Syst Analysis & Design,Fall 2024,64559
,,30600,Game Development I,Fall 2024,23391
,,31500,Systems Programming,Fall 2024,23051
,,,Systems Programming-Honors,Fall 2024,23051
,,32000,"Pol, Reg & Global Info Tech",Fall 2024,12384
,,32200,Research Methodology & Design,Fall 2024,13204
,,32300,Basic Cyberforensics,Fall 2024,10052
,,34000,UNIX Administration,Fall 2024,36472
,,34400,Network Engr Fundamentals,Fall 2024,13355
,,34500,Internet Desgn&Implem,Fall 2024,36490
,,34600,Wireless Networks,Fall 2024,15581
,,35500,Mobile Programming,Fall 2024,15285
,,37000,Introduction To Cryptography,Fall 2024,15652
,,37100,Cyberlaw And Ethics,Fall 2024,14766
,,,Cyberlaw And Ethics-Honors,Fall 2024,14766
,,37200,Database Programming,Fall 2024,13444
,,38000,Adv Analysis & Design,Fall 2024,15654
,,38101,Enterprise Info Governance,Fall 2024,27657
,,41500,Advanced Coding Security,Fall 2024,14825
,,42000,Basic Cyber Forensics,Fall 2024,10004
,,42200,Cyber Criminology,Fall 2024,13195
,,,,,12904
,,,Cyber Criminology-Honors,Fall 2024,12904
,,45500,Network Security,Fall 2024,13461
,,,,,32477
,,47000,Incident Response Management,Fall 2024,13215
,,47100,Vuln Analysis & Testing,Fall 2024,21543
,,48000,Manag Info Tech Projct,Fall 2024,32482
,,48101,Cloud Computing Infrastructure,Fall 2024,21511
,,48300,Applied Machine Learning,Fall 2024,21427
,,48700,Database Administratn,Fall 2024,21440
,,,Database Administratn-Honors,Fall 2024,21440
,,51100,Found Homeland Sec Std,Fall 2024,59916
,,51900,Natural Language Technologies,Fall 2024,27643
,,54600,IoT For IT,Fall 2024,25486
,,55200,Info Tech Proj Mgmt,Fall 2024,69810
,,55500,Adv Network Security,Fall 2024,10003
,,55501,Social Engineering Mitigation,Fall 2024,33486
,,56200,Six Sigma Black Belt,Fall 2024,14435
,,57000,IT Data Analytics,Fall 2024,23965
,,58100,Network Forensics,Fall 2024,15656
,,62300,Deep Learn Sec & Priv,Fall 2024,16188
,,,Intro To Cloud Infrastructure,Fall 2024,25903
,,62500,Research Methods In Computing,Fall 2024,32354
COM,COM-Communication,10000,Intro To Com Studies,Fall 2024,16939
,,10200,Intro To Com Theory,Fall 2024,16940
,,11400,Fundament Of Speech,Fall 2024,20415
,,,,,21497
,,,,,21520
,,,,,21521
,,,,,21522
,,,,,21524
,,,,,21525
,,,,,21552
,,,,,21553
,,,,,21554
,,,,,21556
,,,,,21557
,,,,,21563
,,,,,21591
,,,,,21592
,,,,,21593
,,,,,21598
,,,,,21600
,,,,,21617
,,,,,21622
,,,,,21623
,,,,,21624
,,,,,21627
,,,,,18556
,,,,,18558
,,,,,18560
,,,,,18562
,,,,,16729
,,,,,23587
,,,,,33264
,,,,,33265
,,,,,33266
,,,,,33298
,,,,,33527
,,,,,33528
,,,,,15414
,,,,,23708
,,,,,23709
,,,,,23705
,,,,,47915
,,,,,20821
,,,Fundament Of Speech-Honors,Fall 2024,63969
,,,,,63967
,,,,,63970
,,,,,63968
,,,,,18354
,,,,,33584
,,20400,Crit Perspectives Com,Fall 2024,17079
,,,Crit Perspectives Com-Honors,Fall 2024,17079
,,21200,Appr Stdy Interp Commn,Fall 2024,17094
,,,,,17089
,,,,,17090
,,,,,16971
,,,,,12789
,,,,,22562
,,,,,32462
,,,Appr Stdy Interp Commn-Honors,Fall 2024,17094
,,,,,16971
,,,,,22562
,,,,,32462
,,21700,Sci Writing & Presentn-Honors,Fall 2024,20262
,,,,,16777
,,,Science Writing & Presentation,Fall 2024,69672
,,,,,69673
,,,,,69675
,,,,,69676
,,,,,69677
,,,,,69678
,,,,,69679
,,,,,69680
,,,,,69681
,,,,,69682
,,,,,15718
,,,,,19588
,,,,,19589
,,,,,19590
,,,,,19594
,,,,,19597
,,,,,19598
,,,,,19599
,,,,,19600
,,,,,23331
,,,,,22559
,,,,,16756
,,,,,16759
,,,,,16775
,,,,,16776
,,,,,25266
,,,,,25268
,,,,,15686
,,,,,27401
,,,,,27402
,,,,,33009
,,22400,Com Global Workplace,Fall 2024,62685
,,,,,19901
,,25000,Mass Commun & Society,Fall 2024,54796
,,25100,"Comm, Info, And Society",Fall 2024,13487
,,25200,Writing For Mass Media,Fall 2024,17103
,,,,,63584
,,,Writing For Mass Media-Honors,Fall 2024,17103
,,25300,Intro To Public Rels,Fall 2024,17111
,,25600,Intro To Advertising,Fall 2024,17112
,,25700,PR Techniques,Fall 2024,14286
,,,,,27408
,,26100,Intr Digitl Video Prod,Fall 2024,59712
,,,,,15769
,,27100,Podcasting,Fall 2024,26808
,,,Podcasting-Honors,Fall 2024,26808
,,30300,Intercultural Communic,Fall 2024,17117
,,,,,63587
,,30400,Quant Methods Com Res,Fall 2024,17123
,,31100,Copy Editing,Fall 2024,46314
,,,,,19894
,,31400,Adv Presntatnl Spk,Fall 2024,17143
,,,,,12790
,,,,,10372
,,,Adv Presntatnl Spk-Honors,Fall 2024,12790
,,31800,Prin Of Persuasion,Fall 2024,17149
,,32000,Small Group Comm - Honors,Fall 2024,17157
,,,Small Group Communication,Fall 2024,17153
,,,,,17155
,,,,,17157
,,,,,17158
,,32400,Intro To Organzal Com,Fall 2024,13942
,,,,,16539
,,,Intro To Organzal Com-Honors,Fall 2024,13942
,,,,,16539
,,32500,Interview Princ Prac,Fall 2024,17166
,,,,,17176
,,33000,Theories Of Mass Comm,Fall 2024,17180
,,33200,Television Production,Fall 2024,63952
,,33600,Advertising Media Strategy,Fall 2024,27428
,,35100,Mass Commun Ethics,Fall 2024,18866
,,35300,Prob Public Relations,Fall 2024,17190
,,,,,14285
,,36001,Mock Trial Practicum,Fall 2024,29113
,,37400,Soc Int Skls: Asmt/Dev,Fall 2024,21980
,,37600,Communication/Gender,Fall 2024,22070
,,37800,Intro To Health Communication,Fall 2024,13167
,,41100,Communication & Soc Networks,Fall 2024,16552
,,41500,Discuss Tech Problem,Fall 2024,17205
,,44400,Int Com & Soc Entrepreneurship,Fall 2024,27203
,,45600,Advertising Writing,Fall 2024,33393
,,46400,Am Political Communication,Fall 2024,16557
,,49101,Boiler Communication,Fall 2024,30846
,,49500,Campaigns And Elections,Fall 2024,20614
,,,Cont Creation For Soc Media,Fall 2024,26127
,,,PR In Entertainment,Fall 2024,26102
,,49502,Travel Writing,Fall 2024,24573
,,49504,Social Media For Social Good,Fall 2024,27715
,,61200,Identity And Stigma,Fall 2024,27330
CPB,CPB-Comparative Pathobiology,46400,Clinical Toxicology-VN,Fall 2024,15331
