,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,,Beginning Painting-Honors,Fall 2024,10221
,,20100,Art For Elem Schl Tchr,Fall 2024,10224
,,,,,10226
,,,,,10223
,,,,,17870
,,,Art For Elem Schl Tchr-Honors,Fall 2024,10224
,,20200,Intro To Art Education,Fall 2024,11875
,,,Intro To Art Education-Honors,Fall 2024,11875
,,20500,Design III,Fall 2024,16992
,,21300,Life Drawing I,Fall 2024,12633
,,21500,Materials & Processes,Fall 2024,14658
,,,,,14659
,,,,,20386
,,22000,Computers In Art,Fall 2024,14666
,,22600,History Of Art To 1400,Fall 2024,15434
,,,History Of Art To 1400-Honors,Fall 2024,15434
,,22700,Hist Of Art Since 1400,Fall 2024,11506
,,22800,VCD Computing I,Fall 2024,48767
,,,,,18037
,,23000,Interior Design I,Fall 2024,67425
,,,,,13064
,,23300,Electronic Media Studio,Fall 2024,62874
,,,,,11926
,,,,,23079
,,,Electronic Media Studio-Honors,Fall 2024,62874
,,24000,Int Draft & Draw,Fall 2024,13069
,,,,,13070
,,,,,32418
,,24200,Ceramics I,Fall 2024,10264
,,,,,10263
,,,,,10265
,,,,,26602
,,24600,Design Drawing II,Fall 2024,17474
,,,,,17475
,,,,,17482
,,25100,History Of Photo I,Fall 2024,11947
,,25500,Art Appreciation,Fall 2024,10272
,,,,,22182
,,,,,10051
,,,,,21859
,,26200,Jewelry & Metalwork I,Fall 2024,10277
,,,,,10278
,,26500,Relief Printmaking,Fall 2024,16095
,,26600,Silkscreen Printmaking,Fall 2024,12741
,,26700,Digital Imaging,Fall 2024,16595
,,27000,Constructed Textiles,Fall 2024,30491
,,27500,Beginning Sculpture,Fall 2024,12746
,,30200,Theory Prac El Sc Art,Fall 2024,14803
,,30500,Industrial Design I,Fall 2024,17489
,,31500,Design Methodology,Fall 2024,17510
,,31800,Fnd Inter Multimed Dsg,Fall 2024,10293
,,,,,10294
,,32600,Physical Computing,Fall 2024,27112
,,33000,Interior Design III,Fall 2024,12509
,,,,,12748
,,33100,Digtl Video Prod&Aesth,Fall 2024,23026
